Position,ContactName,DATE,ExpDate,TYPE,UDLY,Strike,Price,Delta,Gamma,Vega,Theta,Rho,OrigIV,IV
0,RUT150117P01160000,2014/12/26,2015/1/17,1,1215.21,1160,4.97,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
0,RUT150117P01200000,2014/12/26,2015/1/17,1,1215.21,1200,12.24,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
0,RUT150320C01220000,2014/12/26,2015/3/20,2,1215.21,1220,36.7,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
